PR_NUM,REVISION,METERID,CREATEDDATE,FORECASTID,REQUESTED_DATE,STATUS,RESPONSE_DATE,RESPONSE_STATUS
1-ZPQGA5,1,ERCOT_ONCOR_10443720002333637,12/11/2019 8:26,20191211082701084000_ERCOT_ONCOR_10443720002333637,12/11/2019 8:27,FORECASTING IN PROGRESS,,
1-ZD28G4,2,PJM_PPL_6571109009,12/11/2019 8:25,20191211082606857000_PJM_PPL_6571109009,12/11/2019 8:26,FORECAST_COMPLETE,12/11/2019 8:49,SUCCESS
1-ZD28G4,2,PJM_PPL_9123126008,12/11/2019 8:25,20191211082606873000_PJM_PPL_9123126008,12/11/2019 8:26,FORECAST_COMPLETE,12/11/2019 8:57,SUCCESS
1-ZC1Z73,1,PJM_METED_08006502740002446287,12/11/2019 8:25,20191211082606857000_PJM_METED_08006502740002446287,12/11/2019 8:26,FORECAST_COMPLETE,12/11/2019 8:51,SUCCESS
1-ZD28G4,2,PJM_PPL_8848107002,12/11/2019 8:25,20191211082606857000_PJM_PPL_8848107002,12/11/2019 8:26,FORECAST_COMPLETE,12/11/2019 8:59,SUCCESS
1-ZD28G4,2,PJM_PPL_9381030001,12/11/2019 8:25,20191211082606763000_PJM_PPL_9381030001,12/11/2019 8:26,FORECAST_COMPLETE,12/11/2019 8:57,SUCCESS
1-VI1IY1,2,NEPOOL_CLP_51323598037_934481000,12/11/2019 8:20,20191211082105097000_NEPOOL_CLP_51323598037_934481000,12/11/2019 8:21,FORECAST_COMPLETE,12/11/2019 8:39,SUCCESS
1-ZGFTIN,1,PJM_PSEG_PE000011072224645304,12/11/2019 8:20,20191211082105050000_PJM_PSEG_PE000011072224645304,12/11/2019 8:21,FORECAST_COMPLETE,12/11/2019 8:40,SUCCESS
1-ZJENYZ,1,PJM_APSPA_08058470800006703823,12/11/2019 8:20,20191211082105909000_PJM_APSPA_08058470800006703823,12/11/2019 8:21,FORECAST_COMPLETE,12/11/2019 8:37,SUCCESS
1-ZJENYZ,1,PJM_APSPA_08058470800006703857,12/11/2019 8:11,20191211081200629000_PJM_APSPA_08058470800006703857,12/11/2019 8:12,FORECAST_COMPLETE,12/11/2019 8:28,SUCCESS
